Season,Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
2015,Anya Battaglino,CTW,F|D,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Ashley Johnston,MET,D,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Brooke Ammerman,MET,F,14665102,2016-08-18,CTW,MET,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Danielle Ward,CTW,F,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Elena Orlando,MET,D,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Jaimie Leonoff,CTW,G,14665102,2016-08-18,CTW,MET,0,0,0,0,0,3.4800000000000004,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,32,1
2015,Jessica Koizumi,CTW,F,14665102,2016-08-18,CTW,MET,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Jordan Brickner,CTW,D,14665102,2016-08-18,CTW,MET,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kaleigh Fratkin,CTW,D,14665102,2016-08-18,CTW,MET,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kelli Stack,CTW,F,14665102,2016-08-18,CTW,MET,1,1,1,3,2,2.22,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Kelly Babstock,CTW,F,14665102,2016-08-18,CTW,MET,1,1,0,2,2,1.7500000000000002,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kiira Dosdall,MET,D,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Ludmila Belyakova,MET,F,14665102,2016-08-18,CTW,MET,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Madison Packer,MET,F,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Micaela Long,CTW,F,14665102,2016-08-18,CTW,MET,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Molly Engstrom,CTW,D,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Nana Fujimoto,MET,G,14665102,2016-08-18,CTW,MET,0,0,0,0,0,-0.49999999999999956,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,25,4
2015,Shiann Darkangelo,CTW,F,14665102,2016-08-18,CTW,MET,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Alyssa Gagliardi,BOS,D,14668259,2016-08-19,BUF,BOS,0,1,1,2,1,1.28,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Amanda Pelkey,BOS,F,14668259,2016-08-19,BUF,BOS,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,Brianna Decker,BOS,F,14668259,2016-08-19,BUF,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Brianne Mclaughlin,BUF,G,14668259,2016-08-19,BUF,BOS,0,0,0,0,0,2.3000000000000007,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,45,4
2015,Brittany Ott,BOS,G,14668259,2016-08-19,BUF,BOS,0,0,0,0,0,3.7600000000000007,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,34,1
2015,Emily Field,BOS,F,14668259,2016-08-19,BUF,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Emily Pfalzer,BUF,D,14668259,2016-08-19,BUF,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Hilary Knight,BOS,F,14668259,2016-08-19,BUF,BOS,2,0,0,2,2,2.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Jillian Dempsey,BOS,F,14668259,2016-08-19,BUF,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,Jordan Smelker,BOS,F,14668259,2016-08-19,BUF,BOS,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kacey Bellamy,BOS,D,14668259,2016-08-19,BUF,BOS,0,2,0,2,2,0.94,0,0,0,NA,0,0,0,0,1,0,0,0,4,0,0,0,0
2015,Kelley Steadman,BUF,F,14668259,2016-08-19,BUF,BOS,1,0,0,1,1,0.9400000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Marissa Gedman,BOS,D,14668259,2016-08-19,BUF,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Meghan Duggan,BUF,F,14668259,2016-08-19,BUF,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Zoe Hickel,BOS,F,14668259,2016-08-19,BUF,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Alyssa Wohlfeiler,CTW,F|D,14689699,2016-08-22,BUF,CTW,1,0,0,1,1,0.9400000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Annmarie Cellino,BUF,F,14689699,2016-08-22,BUF,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,Anya Battaglino,CTW,F|D,14689699,2016-08-22,BUF,CTW,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Brianne Mclaughlin,BUF,G,14689699,2016-08-22,BUF,CTW,0,0,0,0,0,1.7400000000000002,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,41,4
2015,Chelsea Laden,CTW,G,14689699,2016-08-22,BUF,CTW,0,0,0,0,0,2.2,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,30,2
2015,Hailey Browne,BUF,F,14689699,2016-08-22,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Jordan Brickner,CTW,D,14689699,2016-08-22,BUF,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Kaleigh Fratkin,CTW,D,14689699,2016-08-22,BUF,CTW,1,2,0,3,3,2.0500000000000003,1,0,0,NA,0,2,0,0,0,0,0,0,4,0,0,0,0
2015,Kate Buesser,CTW,F,14689699,2016-08-22,BUF,CTW,1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kelley Steadman,BUF,F,14689699,2016-08-22,BUF,CTW,1,1,0,2,2,1.5800000000000003,1,0,0,NA,0,0,0,0,1,0,0,0,2,0,0,0,0
2015,Kelli Stack,CTW,F,14689699,2016-08-22,BUF,CTW,0,1,0,1,1,0.47,0,0,0,NA,0,1,0,0,0,0,0,0,2,0,0,0,0
2015,Kelly Babstock,CTW,F,14689699,2016-08-22,BUF,CTW,0,0,2,2,0,1.28,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Lindsay Berman,CTW,D,14689699,2016-08-22,BUF,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Maggie Giamo,BUF,F,14689699,2016-08-22,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Meghan Duggan,BUF,F,14689699,2016-08-22,BUF,CTW,1,1,0,2,2,1.5800000000000003,1,0,0,NA,0,0,0,1,0,0,0,0,2,0,0,0,0
2015,Micaela Long,CTW,F,14689699,2016-08-22,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Molly Engstrom,CTW,D,14689699,2016-08-22,BUF,CTW,1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sam Faber,CTW,F,14689699,2016-08-22,BUF,CTW,1,0,1,2,1,1.7500000000000002,1,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0
2015,Shiann Darkangelo,CTW,F,14689699,2016-08-22,BUF,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Tatiana Rafter,BUF,F,14689699,2016-08-22,BUF,CTW,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Amanda Pelkey,BOS,F,14690190,2016-08-22,MET,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Amber Moore,MET,D,14690190,2016-08-22,MET,BOS,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Blake Bolden,BOS,D,14690190,2016-08-22,MET,BOS,1,1,1,3,2,1.8800000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,6,0,0,0,0
2015,Brianna Decker,BOS,F,14690190,2016-08-22,MET,BOS,2,1,0,3,3,2.8600000000000003,2,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0
2015,Corinne Buie,BOS,F,14690190,2016-08-22,MET,BOS,1,1,0,2,2,1.7500000000000002,1,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,Gabie Figueroa,MET,D,14690190,2016-08-22,MET,BOS,1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,Hilary Knight,BOS,F,14690190,2016-08-22,MET,BOS,0,1,1,2,1,1.11,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Jordan Smelker,BOS,F,14690190,2016-08-22,MET,BOS,1,1,0,2,2,1.7500000000000002,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kiira Dosdall,MET,D,14690190,2016-08-22,MET,BOS,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Lauren Slebodnick,BOS,G,14690190,2016-08-22,MET,BOS,0,0,0,0,0,2.3600000000000003,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,24,1
2015,Ludmila Belyakova,MET,F,14690190,2016-08-22,MET,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Madison Packer,MET,F,14690190,2016-08-22,MET,BOS,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marissa Gedman,BOS,D,14690190,2016-08-22,MET,BOS,0,0,1,1,0,0.47,0,0,0,NA,0,0,1,0,0,0,0,0,2,0,0,0,0
2015,Moran Fritz-Ward,MET,F,14690190,2016-08-22,MET,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Nana Fujimoto,MET,G,14690190,2016-08-22,MET,BOS,0,0,0,0,0,1.8800000000000008,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,42,4
2015,Shenae Lundberg,MET,G,14690190,2016-08-22,MET,BOS,0,0,0,0,0,-3,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3
2015,Zoe Hickel,BOS,F,14690190,2016-08-22,MET,BOS,2,0,1,3,2,2.6900000000000004,2,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Blake Bolden,BOS,D,14690359,2016-08-22,BUF,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Brianna Decker,BOS,F,14690359,2016-08-22,BUF,BOS,3,0,0,3,3,2.99,3,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Brianne Mclaughlin,BUF,G,14690359,2016-08-22,BUF,BOS,0,0,0,0,0,1.8800000000000008,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,42,4
2015,Brittany Ott,BOS,G,14690359,2016-08-22,BUF,BOS,0,0,0,0,0,1.3400000000000007,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,31,3
2015,Corinne Buie,BOS,F,14690359,2016-08-22,BUF,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Emily Field,BOS,F,14690359,2016-08-22,BUF,BOS,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Emily Pfalzer,BUF,D,14690359,2016-08-22,BUF,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Gigi Marvin,BOS,D,14690359,2016-08-22,BUF,BOS,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,Hayley Williams,BUF,F,14690359,2016-08-22,BUF,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Hilary Knight,BOS,F,14690359,2016-08-22,BUF,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,Jillian Dempsey,BOS,F,14690359,2016-08-22,BUF,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Jordan Smelker,BOS,F,14690359,2016-08-22,BUF,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kacey Bellamy,BOS,D,14690359,2016-08-22,BUF,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,Kelley Steadman,BUF,F,14690359,2016-08-22,BUF,BOS,2,0,0,2,2,2.22,2,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,Kourtney Kunichika,BUF,F,14690359,2016-08-22,BUF,BOS,1,1,0,2,2,1.7500000000000002,1,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,0
2015,Megan Bozek,BUF,D,14690359,2016-08-22,BUF,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,Meghan Duggan,BUF,F,14690359,2016-08-22,BUF,BOS,0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Rachel Llanes,BOS,F,14690359,2016-08-22,BUF,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Shelby Bram,BUF,F,14690359,2016-08-22,BUF,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Alyssa Wohlfeiler,CTW,F|D,14690511,2016-08-22,MET,CTW,1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,Ashley Johnston,MET,D,14690511,2016-08-22,MET,CTW,1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,Brittany Dougherty,CTW,F,14690511,2016-08-22,MET,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Danielle Ward,CTW,F,14690511,2016-08-22,MET,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,Janine Weber,MET,F,14690511,2016-08-22,MET,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Jessica Koizumi,CTW,F,14690511,2016-08-22,MET,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kaleigh Fratkin,CTW,D,14690511,2016-08-22,MET,CTW,1,0,1,2,1,1.7500000000000002,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Kelli Stack,CTW,F,14690511,2016-08-22,MET,CTW,0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Kelly Babstock,CTW,F,14690511,2016-08-22,MET,CTW,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Ludmila Belyakova,MET,F,14690511,2016-08-22,MET,CTW,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Meghan Fardelmann,MET,F,14690511,2016-08-22,MET,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,Nana Fujimoto,MET,G,14690511,2016-08-22,MET,CTW,0,0,0,0,0,1.2200000000000002,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,2
2015,Nicole Stock,CTW,G,14690511,2016-08-22,MET,CTW,0,0,0,0,0,1.8000000000000003,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,20,1
2015,Sam Faber,CTW,F,14690511,2016-08-22,MET,CTW,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Alyssa Wohlfeiler,CTW,F|D,14694271,2016-08-23,BUF,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Danielle Ward,CTW,F,14694271,2016-08-23,BUF,CTW,1,0,0,1,1,0.9400000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Devon Skeats,BUF,F,14694271,2016-08-23,BUF,CTW,1,0,0,1,1,0.77,1,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Hailey Browne,BUF,F,14694271,2016-08-23,BUF,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Hayley Williams,BUF,F,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Jaimie Leonoff,CTW,G,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,2.9000000000000004,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,35,2
2015,Jessica Fickel,BUF,F,14694271,2016-08-23,BUF,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Jessica Koizumi,CTW,F,14694271,2016-08-23,BUF,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Jordan Brickner,CTW,D,14694271,2016-08-23,BUF,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Kaleigh Fratkin,CTW,D,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Kelli Stack,CTW,F,14694271,2016-08-23,BUF,CTW,1,0,0,1,1,0.9400000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Kelly Babstock,CTW,F,14694271,2016-08-23,BUF,CTW,1,0,0,1,1,0.6000000000000001,1,0,0,NA,0,0,0,1,0,0,0,0,6,0,0,0,0
2015,Kimberly Sass,BUF,G,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,0.2200000000000002,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,3
2015,Kourtney Kunichika,BUF,F,14694271,2016-08-23,BUF,CTW,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Meghan Duggan,BUF,F,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Micaela Long,CTW,F,14694271,2016-08-23,BUF,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Molly Engstrom,CTW,D,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Paige Harrington,BUF,D,14694271,2016-08-23,BUF,CTW,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sam Faber,CTW,F,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Shannon Doyle,CTW,D,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Shelby Bram,BUF,F,14694271,2016-08-23,BUF,CTW,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Tara Tomimoto,CTW,D,14694271,2016-08-23,BUF,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Amber Moore,MET,D,14694328,2016-08-23,MET,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Ashley Johnston,MET,D,14694328,2016-08-23,MET,BOS,0,1,1,2,1,1.28,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,Beth Hanrahan,MET,F,14694328,2016-08-23,MET,BOS,1,0,0,1,1,0.9400000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Bray Ketchum,MET,F,14694328,2016-08-23,MET,BOS,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,Brooke Ammerman,MET,F,14694328,2016-08-23,MET,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,Casey Pickett,BOS,F,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Celeste Brown,MET,F,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Corinne Buie,BOS,F,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Emily Field,BOS,F,14694328,2016-08-23,MET,BOS,0,1,0,1,1,0.47,0,0,0,NA,0,1,0,0,1,0,0,0,2,0,0,0,0
2015,Gabie Figueroa,MET,D,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.51,0,0,0,NA,0,0,0,0,0,0,0,0,6,0,0,0,0
2015,Gigi Marvin,BOS,D,14694328,2016-08-23,MET,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,Hilary Knight,BOS,F,14694328,2016-08-23,MET,BOS,1,1,0,2,2,1.7500000000000002,1,0,0,NA,1,0,0,1,1,0,0,0,0,0,0,0,0
2015,Kacey Bellamy,BOS,D,14694328,2016-08-23,MET,BOS,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,Kiira Dosdall,MET,D,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Lauren Slebodnick,BOS,G,14694328,2016-08-23,MET,BOS,0,0,0,0,0,1.4800000000000004,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,32,3
2015,Madison Packer,MET,F,14694328,2016-08-23,MET,BOS,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marissa Gedman,BOS,D,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Moran Fritz-Ward,MET,F,14694328,2016-08-23,MET,BOS,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Nana Fujimoto,MET,G,14694328,2016-08-23,MET,BOS,0,0,0,0,0,6.540000000000001,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,61,2
2015,Rachel Llanes,BOS,F,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,Sydney Kidd,MET,D,14694328,2016-08-23,MET,BOS,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Zoe Hickel,BOS,F,14694328,2016-08-23,MET,BOS,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Amanda Pelkey,BOS,F,14694401,2016-08-23,BOS,MET,1,0,0,1,1,0.9400000000000001,1,0,0,NA,1,0,0,0,0,0,0,0,2,0,0,0,0
2015,Ashley Johnston,MET,D,14694401,2016-08-23,BOS,MET,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Brianna Decker,BOS,F,14694401,2016-08-23,BOS,MET,0,1,0,1,1,0.47,0,0,0,NA,0,1,0,0,0,0,0,0,2,0,0,0,0
2015,Brittany Ott,BOS,G,14694401,2016-08-23,BOS,MET,0,0,0,0,0,-0.6199999999999997,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,17,3
2015,Brooke Ammerman,MET,F,14694401,2016-08-23,BOS,MET,1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Celeste Brown,MET,F,14694401,2016-08-23,BOS,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Elena Orlando,MET,D,14694401,2016-08-23,BOS,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Gigi Marvin,BOS,D,14694401,2016-08-23,BOS,MET,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Hilary Knight,BOS,F,14694401,2016-08-23,BOS,MET,1,1,0,2,2,1.7500000000000002,1,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,Janine Weber,MET,F,14694401,2016-08-23,BOS,MET,0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Jillian Dempsey,BOS,F,14694401,2016-08-23,BOS,MET,0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Kacey Bellamy,BOS,D,14694401,2016-08-23,BOS,MET,0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
